,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2020-02-16,0,0,1,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
2020-02-17,0,0,1,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
2020-02-18,0,0,1,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
2020-02-19,0,0,1,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
2020-02-20,0,0,1,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
2020-02-21,0,0,1,0,15,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0
2020-02-22,0,0,1,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
2020-02-23,0,0,1,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
2020-02-24,0,0,1,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
2020-02-25,0,0,1,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
2020-02-26,0,0,1,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
2020-02-27,0,0,1,0,11,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
2020-02-28,0,0,1,0,11,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
2020-02-29,0,0,1,0,12,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,0,1,0
2020-03-01,0,0,1,0,12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,11,0,1,0
2020-03-02,0,0,1,0,21,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0,18,0,1,0
2020-03-03,0,0,2,0,25,0,0,0,0,3,2,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,3,0,0,2,0,0,0,1,0,0,0,27,0,1,0
2020-03-04,0,0,2,0,35,0,0,0,0,3,2,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,11,1,0,0,0,3,0,0,2,0,0,0,1,0,0,0,39,0,1,0
2020-03-05,0,0,2,0,51,0,0,0,0,4,2,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,2,0,23,1,0,0,0,3,0,0,2,0,0,1,4,0,0,0,70,0,1,0
2020-03-06,0,0,3,0,59,4,0,0,0,4,3,0,0,5,1,0,0,1,0,0,3,7,0,1,0,0,0,1,2,2,2,0,36,2,0,0,0,3,2,0,2,0,0,1,5,0,0,0,83,0,1,0
2020-03-07,0,0,5,0,82,8,2,0,0,8,6,1,0,6,1,0,0,1,0,0,3,7,0,1,0,0,0,1,2,2,4,0,76,2,0,0,1,6,2,0,3,2,0,1,9,1,0,0,107,0,1,0
2020-03-08,0,0,5,0,98,8,1,0,2,11,5,1,0,7,2,0,1,1,0,0,5,24,0,1,0,1,0,1,4,6,5,0,106,2,0,0,1,14,6,0,3,2,0,3,12,1,1,2,128,0,1,0
2020-03-09,0,0,5,0,104,8,1,0,2,14,10,2,0,7,3,3,1,4,1,0,5,24,0,2,0,1,0,3,4,5,5,0,142,2,0,0,1,14,7,0,3,6,0,3,14,1,1,2,128,0,1,0
2020-03-10,0,0,6,0,144,15,2,0,5,15,17,2,0,12,6,8,1,6,1,0,8,92,0,3,0,1,0,3,4,4,15,0,173,7,0,3,2,15,12,0,3,7,0,7,13,2,1,7,267,0,3,0
2020-03-11,0,0,9,1,177,34,3,1,10,28,23,2,0,25,11,13,1,8,6,0,9,95,2,5,0,1,1,5,7,5,23,3,220,7,0,4,2,19,16,0,5,10,8,9,21,3,1,9,366,0,6,0
2020-03-12,0,0,9,6,221,45,5,1,10,35,31,2,0,32,13,16,1,10,19,0,12,108,2,9,1,1,1,10,14,6,29,5,328,15,1,5,2,24,22,0,5,12,8,18,27,5,2,17,442,0,8,1
2020-03-13,5,1,9,6,282,49,11,4,10,50,42,2,1,46,13,17,5,14,36,1,18,123,16,14,1,2,1,13,17,6,29,10,421,17,1,13,2,30,41,0,14,13,8,26,43,9,2,30,568,0,19,1
2020-03-14,6,0,12,12,340,101,22,6,10,76,66,4,2,64,16,17,8,14,77,3,26,138,25,21,6,4,5,14,21,7,69,10,525,24,1,26,4,32,47,3,20,19,9,32,57,10,5,41,572,0,27,2
2020-03-15,12,1,13,16,426,131,24,7,16,115,99,6,5,93,20,18,8,20,91,12,32,164,33,35,10,5,7,17,24,13,98,13,732,33,1,37,7,36,66,5,20,28,9,39,72,28,8,45,643,0,32,3
2020-03-16,29,1,18,22,557,160,30,8,22,155,121,7,5,105,25,23,11,21,136,17,41,197,53,54,13,6,7,18,45,17,178,17,967,38,1,50,10,39,77,5,21,33,10,52,85,39,12,49,904,0,47,3
2020-03-17,39,3,20,22,698,160,68,16,22,216,146,10,8,161,30,23,18,26,196,32,60,218,65,60,21,11,9,21,56,26,267,23,1706,64,3,67,19,66,112,5,23,47,11,74,110,51,12,67,1076,1,72,11
2020-03-18,46,6,27,33,751,184,68,19,31,314,199,14,9,162,39,29,18,27,257,42,85,218,83,77,34,18,11,24,55,26,267,23,2495,70,6,86,19,68,152,5,33,47,11,79,173,51,18,77,1014,1,92,15
2020-03-19,78,9,45,62,952,277,159,30,40,417,287,16,11,422,60,44,34,37,392,52,107,328,334,89,50,31,11,29,95,44,742,35,5365,123,18,119,44,88,206,5,44,81,11,154,260,80,22,99,1376,2,159,18
2020-03-20,83,12,78,96,1177,363,194,38,71,563,420,26,23,585,86,45,44,47,538,56,149,413,552,115,80,53,15,37,114,44,890,43,8310,172,19,173,49,114,303,14,54,126,14,233,394,78,29,122,1524,7,207,19
2020-03-21,131,15,118,122,1364,390,194,45,98,659,507,37,36,753,128,68,57,87,585,70,193,525,788,138,140,74,21,38,161,55,1327,43,11710,253,28,248,53,114,396,21,66,171,14,371,581,136,29,156,1793,8,282,23
2020-03-22,180,20,152,165,1646,591,327,56,204,1004,621,53,42,1049,204,90,65,103,837,89,244,646,1035,167,207,87,34,51,190,74,1914,57,15800,305,28,356,67,161,509,23,83,196,21,505,643,162,52,220,1997,16,381,26
2020-03-23,224,30,235,192,2108,704,415,68,120,1227,772,56,68,1285,270,105,84,123,1172,107,290,777,1329,234,249,187,34,51,245,101,2844,83,20884,353,30,443,81,191,698,31,106,298,28,614,764,257,75,254,2221,16,425,26
2020-03-24,298,34,326,219,2538,723,618,104,141,1412,1026,90,81,1537,368,124,100,162,1388,118,349,1159,1793,261,320,257,51,66,278,101,3675,100,25681,495,36,567,106,210,946,39,124,342,30,772,968,298,95,293,2328,22,481,29
2020-03-25,472,41,401,280,2998,1021,875,119,187,1682,1247,91,91,1865,477,146,134,197,1795,142,425,1838,2296,286,377,354,65,71,323,108,4402,113,30841,590,45,704,164,266,1260,51,132,424,41,916,1248,340,125,396,2591,39,621,44
2020-03-26,574,56,508,335,3899,1430,1012,130,231,2357,1525,95,146,2538,645,179,172,247,2304,155,583,2417,2845,344,485,520,90,74,420,137,6876,113,37877,738,51,868,248,316,1795,64,165,424,46,1097,1563,396,158,466,3207,52,728,53
2020-03-27,684,58,665,381,4657,1433,1291,163,271,2900,2000,106,205,3024,979,235,206,301,2744,168,775,3240,3634,396,579,666,109,82,536,158,8825,136,44876,887,68,1137,322,416,2345,79,203,542,58,1318,1937,472,184,607,3477,76,926,70
2020-03-28,801,85,773,409,5095,1740,1524,214,304,3763,2366,149,234,3491,1233,298,266,380,3315,211,995,4257,4650,441,663,836,129,96,626,187,11124,208,52410,1020,94,1406,377,479,2845,100,239,660,68,1511,2455,602,211,740,4030,96,1055,82
2020-03-29,880,102,919,426,5852,2307,1993,232,342,4246,2651,149,281,4596,1513,336,330,438,3540,253,1239,4955,5488,503,759,915,154,108,920,214,13386,237,59648,1191,98,1653,429,548,3432,127,294,774,90,1720,2792,720,235,890,4465,113,1164,86
2020-03-30,1001,114,1157,473,7138,2311,2571,264,401,5473,2808,175,340,5056,1786,424,372,479,4025,275,1413,5752,6498,576,847,1051,171,145,1012,314,16636,237,66663,1313,109,1933,481,606,4155,174,408,925,101,1917,3173,798,256,1020,4923,145,1230,94
2020-03-31,1063,119,1289,523,8210,2966,3128,319,495,6741,3929,204,515,5994,2158,497,434,628,5237,303,1660,6620,7615,629,937,1357,198,172,1114,357,18696,315,75833,1535,122,2199,568,690,4963,239,488,1083,108,2391,3809,888,293,1249,5432,162,1412,109
2020-04-01,1171,132,1530,584,9399,2982,3557,368,586,6956,4638,224,566,6980,2564,547,485,632,6424,303,1986,7738,9315,689,1073,1613,208,210,1279,367,22255,340,83948,1675,142,2547,721,736,6009,286,566,1293,129,2933,4309,888,321,1483,5608,191,1556,130
2020-04-02,1371,143,1715,643,10773,3342,3824,393,653,9008,5348,256,776,7695,3038,614,553,770,9149,376,2331,8966,10791,742,1177,1857,241,246,1463,316,25590,388,92506,1977,159,2901,881,826,7268,316,645,1554,165,3013,4984,1092,338,1706,6389,216,1748,150
2020-04-03,1606,157,1937,704,12004,3742,4914,450,757,10268,5831,319,891,8904,3437,699,629,770,10297,432,2758,10402,12744,788,1358,1864,243,279,1514,479,29895,534,102987,2251,173,3312,990,899,8570,316,711,1700,187,3067,5755,1255,389,2012,6846,237,2012,162
2020-04-04,1726,171,2187,743,12837,4188,5276,593,902,11537,6160,351,1022,10357,3953,787,698,917,12496,456,3125,11736,14225,865,1455,2310,265,321,1742,540,34124,534,113833,2486,186,3739,1161,899,10444,452,806,1917,212,3322,6596,1435,461,2407,7247,282,2030,187
2020-04-05,1905,185,2486,837,15034,4950,5675,673,1002,12350,6647,371,1078,11259,4411,869,751,955,13010,470,3617,12500,15718,935,1638,2347,286,364,1855,621,37505,670,123160,2649,207,4043,1254,1068,11589,475,922,2049,240,3633,7243,1608,512,2640,7825,324,2320,197
2020-04-06,2079,190,2732,875,16019,5183,6906,783,1097,13324,7314,387,1101,12262,4956,946,849,955,14867,499,4045,13837,17221,986,1738,2736,299,417,1953,715,41090,757,131815,2962,225,4453,1329,1068,13127,513,1082,2232,288,3802,8108,1685,543,2878,8311,345,2449,210
2020-04-07,2308,213,2870,946,17351,5429,7781,928,1211,14545,8822,410,1170,12271,5510,1046,912,1149,16284,519,4371,15202,18970,1069,1915,3130,319,447,2124,715,44416,876,139875,3299,237,4782,1474,1132,14853,573,1229,2417,320,4139,8996,1746,575,3335,8692,412,2578,216
2020-04-08,2614,226,3036,1000,18897,5655,7781,1116,1440,15456,9901,410,1210,15078,5943,1145,1046,1149,17030,537,5529,16790,20346,1154,2003,3209,332,519,2259,747,47437,902,151061,3499,251,5148,1526,1181,16631,620,1450,2417,393,4363,9858,1855,605,3645,9276,483,2710,221
2020-04-09,2954,235,3018,1119,19710,5655,9784,1209,1523,16364,10566,442,1232,15079,6351,1270,1116,1341,18283,560,6185,18941,21504,1240,2260,3432,354,568,2456,819,51027,865,161779,3736,269,5512,1686,1321,18300,683,1727,2793,447,4634,11276,1856,628,4042,9639,514,2886,230
2020-04-10,3112,246,3112,1171,21081,6202,10538,1326,1660,17531,11485,442,1354,17887,6907,1388,1117,1693,19253,586,6968,20974,22434,1336,2469,3897,365,635,2722,819,54588,1081,172348,3965,278,5878,1794,1322,20051,725,1727,3067,536,4891,12227,2103,679,4509,10119,574,3068,239
2020-04-11,3346,257,3393,1228,21706,6513,11510,1479,1778,18494,12159,465,1396,19180,7435,1510,1275,1693,20014,616,7694,22860,23605,1427,2642,4108,377,699,2702,885,58151,1091,181026,4354,293,6250,1868,1371,21719,788,2349,3211,626,5132,13145,2207,711,5077,10434,577,3213,261
2020-04-12,3667,272,3542,1280,22795,7307,12035,1625,1875,19895,12452,499,1407,20852,7928,1587,1344,1963,20595,633,8225,25475,24244,1621,2781,4269,387,791,2836,929,61850,1245,189033,4570,308,6604,1970,1527,22938,897,2665,3320,730,5508,13780,2303,727,5274,10609,593,3341,270
2020-04-13,3870,277,3705,1410,23931,7691,13381,1758,1955,21019,13315,504,1426,22025,8359,1710,1390,2018,21016,698,8936,26867,25635,1621,2942,4515,394,814,2990,985,64584,1262,195749,4886,331,6975,2069,1584,24292,903,2665,3391,868,5610,14328,2363,748,5747,10635,611,3428,275
2020-04-14,4041,285,3809,1498,25356,7950,13989,1926,2058,21628,14578,511,1464,23248,8527,1899,1441,2048,21518,735,9472,28164,27001,1695,3087,4746,399,897,3134,922,68824,1345,203020,5113,341,7285,2184,1633,25465,923,3251,3553,988,5827,15088,2417,752,6182,10799,640,3555,282
2020-04-15,4307,293,3964,1569,26686,7956,14755,2014,2197,22511,14987,524,1473,24593,8960,1995,1504,2210,21951,770,10032,29918,28059,1809,3360,4791,404,901,3211,1139,71030,1484,214454,5340,365,7794,2263,1663,26753,974,3251,3656,1168,5827,16044,2548,759,6500,10942,702,3721,287
2020-04-16,4465,300,4237,1620,27677,8286,15884,2070,2350,23343,15669,530,1587,25734,9542,2141,1615,2435,22532,796,10784,32181,28809,1809,3624,5174,415,952,3214,1139,75317,1484,223691,5639,393,8414,2357,1736,28258,1043,3529,3931,1311,6375,16985,2683,774,6889,11057,728,3875,296
2020-04-17,4557,309,4511,1695,29157,8691,16809,2317,2476,24759,17194,541,1609,27578,10154,2332,1730,2522,23118,827,11572,34402,30023,2070,3793,5371,422,1066,3524,1287,78467,1597,230597,6045,393,9107,2465,1785,29888,1068,4177,4099,1411,6263,17925,2793,779,7491,11517,775,4053,305
2020-04-18,4788,314,4724,1744,30491,9047,17550,2538,2666,25492,17669,574,1655,29160,10641,2513,1821,2707,23580,847,12326,36372,30791,2209,3974,5579,426,1249,3626,1342,81420,1798,241712,6328,528,10222,2465,1844,31652,1118,4491,4248,1542,6589,18724,2917,803,8053,11776,785,4199,309
2020-04-19,4978,319,4933,1781,31431,9730,17962,2538,2793,26314,18301,580,1668,30357,11211,2902,1905,2960,23928,867,12847,38077,31424,2356,4274,5743,433,1474,3728,1390,85301,1845,247815,6601,585,11602,2567,1910,32902,1213,4706,4377,1635,7070,19282,3069,813,8542,12255,890,4346,313
2020-04-20,5163,321,5068,1973,33686,9730,19815,2745,2927,27059,19407,584,1672,31513,11688,3159,2048,3050,24523,875,13684,38077,32000,2470,4512,5890,433,1648,3830,1447,88722,1971,253060,6895,627,12919,2680,1957,33914,1252,5090,4446,1685,7238,19847,3213,816,8990,12114,902,4499,317
2020-04-21,5404,329,5256,1990,35465,10473,20360,2931,3098,27869,19881,586,1736,33059,12097,3641,2164,3204,24854,888,14193,41199,32667,2567,4716,6066,437,1685,3937,1490,92387,1971,258361,7134,644,13725,2807,2004,35249,1298,5500,4439,1755,7394,20785,3297,818,9630,12392,908,4625,443
2020-04-22,5692,335,5473,2276,37344,10891,22469,3200,3206,28309,21214,592,1766,35107,12438,3748,2331,3378,25258,907,14775,42944,33966,2722,4894,6277,439,1813,4081,1588,95914,2210,263292,7495,679,14117,2894,2059,36082,1252,5841,4761,1858,7394,21577,3445,823,10266,12596,939,4845,447
2020-04-23,5899,337,5772,2599,39561,11278,23100,3308,3361,29648,21883,596,1836,36937,13039,3924,2721,3479,25739,937,15737,46023,35296,2942,5153,6506,442,2202,4208,1670,100025,2379,263460,7820,709,14694,3017,2127,38379,1416,6256,4917,1956,8266,22797,3612,825,10998,12753,981,5052,453
2020-04-24,6092,339,6045,2810,41355,12256,23936,3442,3528,30533,22491,601,1870,39658,13681,4445,2959,3779,26140,965,16616,50969,36641,3185,5434,6788,444,2424,4398,1720,102196,2521,271590,8290,748,15169,3121,2177,40208,1276,6699,5070,2040,8728,23772,3782,827,11594,12977,1010,5356,473
2020-04-25,6274,339,6286,2911,42368,12968,24583,3576,3699,30839,23222,605,1887,41777,14399,5092,3135,3915,26512,965,17766,53348,37074,3446,5718,6935,445,2719,4539,1797,105498,2660,282143,8768,803,15587,3194,2253,41153,1307,7129,5253,2147,9189,24287,3948,843,12366,13319,1010,5687,491
2020-04-26,6475,340,6534,3001,43558,13441,25269,4034,3841,31532,23486,606,1897,43903,15012,5476,3277,4085,26773,1015,18581,54938,37778,3602,5911,7120,448,3028,4734,1864,109038,2726,288045,8997,867,15972,3254,2311,42616,1371,7439,5498,2212,9667,25051,4123,851,12970,13521,1055,5912,502
2020-04-27,6621,345,6725,3069,44966,13879,25997,4162,3892,32138,24302,607,1897,45883,15961,5868,3473,4156,27068,1023,19487,56462,38210,3811,6094,7305,449,3358,4700,1938,111188,2825,291996,9321,942,16325,3281,2354,43558,1389,7708,5613,2244,9918,25565,4236,855,13538,13686,1063,6081,520
2020-04-28,6820,351,6955,3127,46164,14316,26312,4575,3994,32848,24922,609,1952,48102,16588,6376,3652,4375,27286,1040,20113,58302,39262,4181,6342,7450,451,3517,4821,2010,113856,2974,295106,9755,991,16769,3410,2385,45137,1400,7927,5735,2313,10052,26506,4345,862,14339,13842,1095,6289,536
2020-04-29,6979,355,7209,3193,48747,14758,26767,4655,4106,33193,25775,613,1952,50358,17182,6843,3839,4537,27660,1056,20849,60265,40399,4644,6569,7660,451,3851,4934,2058,116365,3213,299691,10180,1033,17303,3473,2446,46327,1433,8247,5882,2373,10366,27542,4497,862,14962,14070,1110,6520,545
2020-04-30,7187,355,7655,3281,50130,15284,27700,4734,4323,33690,26264,618,1984,52918,17835,7145,4413,4708,28001,1095,21742,62205,41379,5136,6815,7818,453,4281,5053,2146,118652,3411,304372,10754,1067,18027,3618,2510,47971,1539,8621,6095,2449,10735,28890,4672,866,15847,14327,1125,6854,559
2020-05-01,7440,364,7969,3337,52026,15793,28764,4918,4658,34728,27489,619,2015,56055,18630,7884,4634,4882,28711,1123,23472,64311,42356,5730,7212,8067,453,5008,5248,2310,121190,3513,308314,11070,1107,18743,3748,2579,49579,1575,8962,6258,2525,11891,29970,4828,879,16902,14637,1152,7314,566
2020-05-02,7700,365,8364,3372,53347,16225,29287,5038,4797,35463,28331,620,2061,58505,19295,8643,4885,4879,29140,1153,24473,66263,43207,6232,7441,8356,455,5317,5389,2429,123717,3732,312977,11588,1153,19335,3851,2635,50494,1757,9289,6489,2588,12661,31126,4985,886,17738,15003,1185,7660,579
2020-05-03,7977,368,8640,3437,54903,16635,29287,5208,5016,36078,28665,620,2061,61499,19933,9175,5156,5130,29340,1185,25462,68087,43801,6663,7550,8618,455,5661,5472,2518,126744,3850,316415,11770,1191,19914,3972,2680,51225,1808,9477,6626,2631,13177,32123,5175,897,18672,15185,1195,7964,586
2020-05-04,8203,370,8924,3491,55884,16918,29973,5288,5170,36897,29451,621,2106,63777,20507,9703,5383,5245,29673,1205,26408,69087,43990,7234,7877,8946,457,6037,5630,2588,128269,4031,318953,11971,1225,20474,4044,2759,52816,1843,9652,6757,2668,13571,32889,5317,902,19493,15462,1224,8236,596
2020-05-05,8520,371,9305,3525,58456,17367,30621,5371,5322,37439,29998,625,2127,65889,21033,10111,5648,5822,29996,1226,27117,70271,44451,7851,8207,9121,456,6373,5660,2636,130593,4138,321192,12510,1266,20969,4127,2839,53864,1924,9933,6841,2721,13690,34137,5449,907,20257,15594,1246,8566,604
2020-05-06,8769,372,9707,3611,60616,17832,30995,5778,5461,38002,30743,626,2158,68232,21870,10404,5993,5934,30399,1254,28163,72025,45179,8579,8424,9323,456,6689,5741,2741,131890,4291,323978,13053,1323,21576,4202,2916,54800,1968,10205,6936,2780,13938,35225,5595,908,20257,15905,1242,8901,631
2020-05-07,9115,374,9945,3703,62148,18370,31784,5939,5654,38828,31618,629,2178,70871,22503,11059,6332,6129,30652,1330,29374,73721,45745,9365,8686,9581,456,7334,5855,2843,133991,4493,327469,13540,1371,22131,4330,2989,55956,2031,10530,7142,2906,14096,36244,5724,916,21570,16231,1287,9215,635
2020-05-08,9437,377,10526,3747,63779,18827,32411,6111,5899,39199,32181,629,2178,73760,23146,11457,6667,6288,30855,1374,30485,75333,46386,10088,9090,9733,458,7818,5920,2947,135840,4673,330407,14006,1425,23016,4424,3068,57371,2156,10779,7367,3145,14441,37530,5919,919,22342,16388,1323,9590,644
2020-05-09,9720,378,10960,3747,66558,19375,32984,6277,6102,40001,32588,631,2205,76085,23732,11671,6829,6440,31417,1408,31534,76743,46815,10790,9378,9911,458,8093,6171,3011,137397,4778,333122,14478,1464,23697,4490,3160,58560,2173,10989,7531,3393,14768,38983,6103,921,23196,16674,1323,9939,653
2020-05-10,9982,379,11119,4012,67600,19703,33554,6277,6272,40596,33580,632,2230,77741,24126,11959,6951,6440,31600,1436,32587,77793,47182,11271,9501,10068,458,8171,6120,3071,138754,4863,335395,14938,1491,24081,4589,3228,59939,2198,11274,7653,3517,14985,39807,6251,927,24081,16891,1360,10219,662
2020-05-11,10262,379,11383,4043,69329,19879,33765,6565,6389,40982,34002,634,2260,79007,24627,12373,7159,6677,31815,1462,33373,78462,47552,11799,9674,10157,459,8407,6152,3160,140206,5069,337055,15274,1518,24777,4613,3286,60459,2256,11450,7792,3614,15544,40701,6362,926,25070,17122,1366,10418,669
2020-05-12,10566,383,11736,4164,70978,20157,34333,6741,6485,41923,34924,635,2293,83021,25127,12912,7240,6853,32050,1477,34061,79332,48021,12494,9908,10269,461,8532,6313,3239,140917,5212,338485,15622,1571,25250,4732,3358,61310,2299,11614,7927,3663,16111,42030,6432,927,25800,17330,1378,10611,675
2020-05-13,10822,383,12216,4236,72798,20475,34855,6952,6584,42402,35427,638,2293,84694,25473,13289,7518,6853,32662,1515,34812,80497,48391,12917,10090,10404,462,8912,6476,3299,141560,5364,340661,16352,1647,25721,4858,3416,62101,2329,11835,8030,3732,16370,43456,6620,929,26746,17512,1398,10902,688
2020-05-14,11161,383,12674,4366,74871,20838,35464,7223,6736,43210,35977,637,2351,87937,26053,13675,7705,7225,33489,1565,35903,82182,49582,13435,10483,10594,462,9260,6504,3382,142704,5503,343051,16968,1712,26357,4963,3479,63105,2427,12016,8189,3792,16699,44701,6749,932,27813,17773,1427,11275,701
2020-05-15,11494,388,13169,4463,76693,21232,36085,7373,6871,44138,36772,638,2351,90369,26656,14049,7886,7444,33837,1603,36986,83421,50079,14240,10801,10766,466,9610,6733,3453,143984,5662,345813,17494,1761,26954,5087,3541,64136,2542,12219,8407,3887,16960,45891,6913,933,28672,17951,1447,11685,716
2020-05-16,11828,388,13666,4578,78725,21633,36703,7547,7042,44811,37212,639,2419,92457,27280,14328,7939,7688,34117,1648,37968,84933,50538,14969,11123,10959,468,10220,6813,3556,145089,5847,348232,18130,1848,27474,5237,3612,65185,2589,12434,8661,3959,17263,47650,7068,934,29683,18288,1470,12187,741
2020-05-17,12137,388,13945,4759,80166,21938,37419,7670,7123,45588,37579,640,2419,94191,27778,14651,7953,7688,34432,1687,38804,86010,51142,15668,11296,11108,468,10177,6949,3596,146504,5938,350121,18673,1900,27923,5310,3623,65700,2646,12674,8816,3987,17359,48630,7238,940,30388,18433,1492,12543,754
2020-05-18,12438,388,14208,4813,81457,22202,38116,7869,7270,46442,38283,640,2455,96485,28255,14955,8303,7935,34709,1713,39762,87052,51915,16372,11432,11242,470,10625,7061,3652,148240,6096,351371,19207,1931,28454,5398,3687,66669,2710,12795,8942,4027,18011,49400,7384,940,31140,18611,1502,12687,766
2020-05-19,12825,400,14576,4923,83752,22482,38430,8037,7434,46944,38855,641,2455,98030,28705,15296,8353,8069,35038,1741,41546,87925,52350,17029,11704,11393,471,10854,7096,3721,149356,6192,352845,19239,1994,28952,5489,3726,67311,2805,12951,9056,4085,18412,50740,7518,944,32145,18811,1502,12885,776
2020-05-20,13186,401,14906,5003,85997,22797,39017,8194,7551,47471,39801,643,2506,100418,29274,15620,8507,8167,35316,1819,42323,88970,53009,17670,11967,11528,478,11122,7388,3868,150776,6317,354370,20262,2095,29436,5532,3801,68126,2866,13356,9175,4177,18412,51985,7710,944,32908,18971,1567,13413,787
2020-05-21,13590,401,15348,5458,88031,23191,39208,8386,7788,48675,40663,647,2506,102688,29936,16170,8625,8286,36504,1877,43531,90084,53510,18200,12222,11689,479,11427,7400,3935,151586,6472,356458,20512,2229,30167,5680,3817,69252,2913,13571,9381,4177,18961,53279,7874,950,34137,19117,1593,13885,801
2020-05-22,13954,403,15624,5612,90252,23487,39640,8529,7893,49451,41482,642,2595,105444,30409,16492,8909,8426,36925,1948,44424,90889,53913,19005,12625,11836,479,11662,7525,4014,152579,6625,358154,22110,2317,30794,5849,3864,70211,3030,13736,9638,4356,19394,53817,8057,952,34950,19265,1705,14396,803
2020-05-23,14328,407,16053,5775,92539,23964,40022,8529,7966,50127,42242,643,2595,107796,30901,16898,8946,8571,36925,2013,45495,91662,54365,19845,13005,11966,479,11963,7526,4089,153140,6625,359926,22864,2365,31408,5960,3888,71009,3100,13952,9895,4464,19785,54932,8260,954,35749,19265,1705,14877,813
2020-05-24,14676,407,16377,5922,94020,24174,40468,8809,8110,50867,42902,643,2626,110304,31376,17251,9004,8571,37169,2055,46313,92675,54679,20573,13260,12149,479,12134,7881,4149,154154,6943,361515,23365,2418,31911,6037,3927,71563,3189,14065,10096,4563,20111,55961,8392,956,36244,19828,1759,15277,838
2020-05-25,15309,408,16575,6029,96400,24269,40873,8965,8225,51746,43400,643,2626,112017,31715,17557,9125,8571,37809,2074,47152,93271,54881,21315,13458,12476,479,12362,7956,4197,155092,7026,362764,24057,2457,32477,6090,3949,71925,3260,14065,10178,4586,20535,56434,8521,962,37727,20065,1774,15584,843
