,2019
".Searcy County, Arkansas",7881.0
".Sebastian County, Arkansas",127827.0
".Sevier County, Arkansas",17007.0
".Sharp County, Arkansas",17442.0
".Stone County, Arkansas",12506.0
".Union County, Arkansas",38682.0
".Van Buren County, Arkansas",16545.0
".Washington County, Arkansas",239187.0
".White County, Arkansas",78753.0
".Woodruff County, Arkansas",6320.0
".Yell County, Arkansas",21341.0
".Alameda County, California",1671329.0
".Alpine County, California",1129.0
".Amador County, California",39752.0
".Butte County, California",219186.0
".Calaveras County, California",45905.0
".Colusa County, California",21547.0
".Contra Costa County, California",1153526.0
".Del Norte County, California",27812.0
".El Dorado County, California",192843.0
".Fresno County, California",999101.0
".Glenn County, California",28393.0
".Humboldt County, California",135558.0
".Imperial County, California",181215.0
".Inyo County, California",18039.0
".Kern County, California",900202.0
".Kings County, California",152940.0
".Lake County, California",64386.0
".Lassen County, California",30573.0
".Los Angeles County, California",10039107.0
".Madera County, California",157327.0
".Marin County, California",258826.0
".Mariposa County, California",17203.0
".Mendocino County, California",86749.0
".Merced County, California",277680.0
".Modoc County, California",8841.0
".Mono County, California",14444.0
".Monterey County, California",434061.0
".Napa County, California",137744.0
".Nevada County, California",99755.0
".Orange County, California",3175692.0
".Placer County, California",398329.0
".Plumas County, California",18807.0
".Riverside County, California",2470546.0
".Sacramento County, California",1552058.0
".San Benito County, California",62808.0
".San Bernardino County, California",2180085.0
".San Diego County, California",3338330.0
".San Francisco County, California",881549.0
".San Joaquin County, California",762148.0
".San Luis Obispo County, California",283111.0
".San Mateo County, California",766573.0
".Santa Barbara County, California",446499.0
".Santa Clara County, California",1927852.0
".Santa Cruz County, California",273213.0
".Shasta County, California",180080.0
".Sierra County, California",3005.0
".Siskiyou County, California",43539.0
".Solano County, California",447643.0
".Sonoma County, California",494336.0
".Stanislaus County, California",550660.0
".Sutter County, California",96971.0
".Tehama County, California",65084.0
".Trinity County, California",12285.0
".Tulare County, California",466195.0
".Tuolumne County, California",54478.0
".Ventura County, California",846006.0
".Yolo County, California",220500.0
".Yuba County, California",78668.0
".Adams County, Colorado",517421.0
".Alamosa County, Colorado",16233.0
".Arapahoe County, Colorado",656590.0
".Archuleta County, Colorado",14029.0
".Baca County, Colorado",3581.0
".Bent County, Colorado",5577.0
".Boulder County, Colorado",326196.0
".Broomfield County, Colorado",70465.0
".Chaffee County, Colorado",20356.0
".Cheyenne County, Colorado",1831.0
".Clear Creek County, Colorado",9700.0
".Conejos County, Colorado",8205.0
".Costilla County, Colorado",3887.0
".Crowley County, Colorado",6061.0
".Custer County, Colorado",5068.0
".Delta County, Colorado",31162.0
".Denver County, Colorado",727211.0
".Dolores County, Colorado",2055.0
".Douglas County, Colorado",351154.0
".Eagle County, Colorado",55127.0
".Elbert County, Colorado",26729.0
".El Paso County, Colorado",720403.0
".Fremont County, Colorado",47839.0
".Garfield County, Colorado",60061.0
".Gilpin County, Colorado",6243.0
".Grand County, Colorado",15734.0
".Gunnison County, Colorado",17462.0
".Hinsdale County, Colorado",820.0
".Huerfano County, Colorado",6897.0
".Jackson County, Colorado",1392.0
".Jefferson County, Colorado",582881.0
".Kiowa County, Colorado",1406.0
".Kit Carson County, Colorado",7097.0
".Lake County, Colorado",8127.0
".La Plata County, Colorado",56221.0
".Larimer County, Colorado",356899.0
".Las Animas County, Colorado",14506.0
".Lincoln County, Colorado",5701.0
".Logan County, Colorado",22409.0
".Mesa County, Colorado",154210.0
".Mineral County, Colorado",769.0
".Moffat County, Colorado",13283.0
".Montezuma County, Colorado",26183.0
".Montrose County, Colorado",42758.0
".Morgan County, Colorado",29068.0
".Otero County, Colorado",18278.0
".Ouray County, Colorado",4952.0
".Park County, Colorado",18845.0
".Phillips County, Colorado",4265.0
".Pitkin County, Colorado",17767.0
".Prowers County, Colorado",12172.0
".Pueblo County, Colorado",168424.0
".Rio Blanco County, Colorado",6324.0
".Rio Grande County, Colorado",11267.0
".Routt County, Colorado",25638.0
".Saguache County, Colorado",6824.0
".San Juan County, Colorado",728.0
".San Miguel County, Colorado",8179.0
".Sedgwick County, Colorado",2248.0
".Summit County, Colorado",31011.0
".Teller County, Colorado",25388.0
".Washington County, Colorado",4908.0
".Weld County, Colorado",324492.0
".Yuma County, Colorado",10019.0
".Fairfield County, Connecticut",943332.0
".Hartford County, Connecticut",891720.0
".Litchfield County, Connecticut",180333.0
".Middlesex County, Connecticut",162436.0
".New Haven County, Connecticut",854757.0
".New London County, Connecticut",265206.0
".Tolland County, Connecticut",150721.0
".Windham County, Connecticut",116782.0
".Kent County, Delaware",180786.0
".New Castle County, Delaware",558753.0
".Sussex County, Delaware",234225.0
".District of Columbia, District of Columbia",705749.0
".Alachua County, Florida",269043.0
".Baker County, Florida",29210.0
".Bay County, Florida",174705.0
".Bradford County, Florida",28201.0
".Brevard County, Florida",601942.0
".Broward County, Florida",1952778.0
".Calhoun County, Florida",14105.0
".Charlotte County, Florida",188910.0
".Citrus County, Florida",149657.0
".Clay County, Florida",219252.0
".Collier County, Florida",384902.0
".Columbia County, Florida",71686.0
".DeSoto County, Florida",38001.0
".Dixie County, Florida",16826.0
".Duval County, Florida",957755.0
".Escambia County, Florida",318316.0
".Flagler County, Florida",115081.0
".Franklin County, Florida",12125.0
".Gadsden County, Florida",45660.0
".Gilchrist County, Florida",18582.0
".Glades County, Florida",13811.0
".Gulf County, Florida",13639.0
".Hamilton County, Florida",14428.0
".Hardee County, Florida",26937.0
".Hendry County, Florida",42022.0
".Hernando County, Florida",193920.0
".Highlands County, Florida",106221.0
".Hillsborough County, Florida",1471968.0
".Holmes County, Florida",19617.0
".Indian River County, Florida",159923.0
".Jackson County, Florida",46414.0
".Jefferson County, Florida",14246.0
".Lafayette County, Florida",8422.0
".Lake County, Florida",367118.0
".Lee County, Florida",770577.0
".Leon County, Florida",293582.0
".Levy County, Florida",41503.0
".Liberty County, Florida",8354.0
".Madison County, Florida",18493.0
".Manatee County, Florida",403253.0
".Marion County, Florida",365579.0
".Martin County, Florida",161000.0
".Miami-Dade County, Florida",2716940.0
".Monroe County, Florida",74228.0
".Nassau County, Florida",88625.0
".Okaloosa County, Florida",210738.0
".Okeechobee County, Florida",42168.0
".Orange County, Florida",1393452.0
".Osceola County, Florida",375751.0
".Palm Beach County, Florida",1496770.0
".Pasco County, Florida",553947.0
".Pinellas County, Florida",974996.0
".Polk County, Florida",724777.0
".Putnam County, Florida",74521.0
".St. Johns County, Florida",264672.0
".St. Lucie County, Florida",328297.0
".Santa Rosa County, Florida",184313.0
".Sarasota County, Florida",433742.0
".Seminole County, Florida",471826.0
".Sumter County, Florida",132420.0
".Suwannee County, Florida",44417.0
".Taylor County, Florida",21569.0
".Union County, Florida",15237.0
".Volusia County, Florida",553284.0
".Wakulla County, Florida",33739.0
".Walton County, Florida",74071.0
".Washington County, Florida",25473.0
".Appling County, Georgia",18386.0
".Atkinson County, Georgia",8165.0
".Bacon County, Georgia",11164.0
".Baker County, Georgia",3038.0
".Baldwin County, Georgia",44890.0
".Banks County, Georgia",19234.0
".Barrow County, Georgia",83240.0
".Bartow County, Georgia",107738.0
".Ben Hill County, Georgia",16700.0
".Berrien County, Georgia",19397.0
".Bibb County, Georgia",153159.0
".Bleckley County, Georgia",12873.0
".Brantley County, Georgia",19109.0
".Brooks County, Georgia",15457.0
".Bryan County, Georgia",39627.0
".Bulloch County, Georgia",79608.0
".Burke County, Georgia",22383.0
".Butts County, Georgia",24936.0
".Calhoun County, Georgia",6189.0
".Camden County, Georgia",54666.0
".Candler County, Georgia",10803.0
".Carroll County, Georgia",119992.0
".Catoosa County, Georgia",67580.0
".Charlton County, Georgia",13392.0
".Chatham County, Georgia",289430.0
".Chattahoochee County, Georgia",10907.0
".Chattooga County, Georgia",24789.0
".Cherokee County, Georgia",258773.0
".Clarke County, Georgia",128331.0
".Clay County, Georgia",2834.0
".Clayton County, Georgia",292256.0
".Clinch County, Georgia",6618.0
".Cobb County, Georgia",760141.0
".Coffee County, Georgia",43273.0
".Colquitt County, Georgia",45600.0
".Columbia County, Georgia",156714.0
".Cook County, Georgia",17270.0
".Coweta County, Georgia",148509.0
".Crawford County, Georgia",12404.0
".Crisp County, Georgia",22372.0
".Dade County, Georgia",16116.0
".Dawson County, Georgia",26108.0
".Decatur County, Georgia",26404.0
".DeKalb County, Georgia",759297.0
".Dodge County, Georgia",20605.0
".Dooly County, Georgia",13390.0
".Dougherty County, Georgia",87956.0
".Douglas County, Georgia",146343.0
".Early County, Georgia",10190.0
".Echols County, Georgia",4006.0
".Effingham County, Georgia",64296.0
".Elbert County, Georgia",19194.0
".Emanuel County, Georgia",22646.0
".Evans County, Georgia",10654.0
".Fannin County, Georgia",26188.0
".Fayette County, Georgia",114421.0
".Floyd County, Georgia",98498.0
".Forsyth County, Georgia",244252.0
".Franklin County, Georgia",23349.0
".Fulton County, Georgia",1063937.0
".Gilmer County, Georgia",31369.0
".Glascock County, Georgia",2971.0
".Glynn County, Georgia",85292.0
".Gordon County, Georgia",57963.0
".Grady County, Georgia",24633.0
".Greene County, Georgia",18324.0
".Gwinnett County, Georgia",936250.0
".Habersham County, Georgia",45328.0
".Hall County, Georgia",204441.0
".Hancock County, Georgia",8457.0
".Haralson County, Georgia",29792.0
".Harris County, Georgia",35236.0
".Hart County, Georgia",26205.0
".Heard County, Georgia",11923.0
".Henry County, Georgia",234561.0
".Houston County, Georgia",157863.0
".Irwin County, Georgia",9416.0
".Jackson County, Georgia",72977.0
".Jasper County, Georgia",14219.0
".Jeff Davis County, Georgia",15115.0
".Jefferson County, Georgia",15362.0
".Jenkins County, Georgia",8676.0
".Johnson County, Georgia",9643.0
".Jones County, Georgia",28735.0
".Lamar County, Georgia",19077.0
".Lanier County, Georgia",10423.0
".Laurens County, Georgia",47546.0
".Lee County, Georgia",29992.0
".Liberty County, Georgia",61435.0
".Lincoln County, Georgia",7921.0
".Long County, Georgia",19559.0
".Lowndes County, Georgia",117406.0
".Lumpkin County, Georgia",33610.0
".McDuffie County, Georgia",21312.0
".McIntosh County, Georgia",14378.0
".Macon County, Georgia",12947.0
".Madison County, Georgia",29880.0
".Marion County, Georgia",8359.0
".Meriwether County, Georgia",21167.0
".Miller County, Georgia",5718.0
".Mitchell County, Georgia",21863.0
".Monroe County, Georgia",27578.0
".Montgomery County, Georgia",9172.0
".Morgan County, Georgia",19276.0
".Murray County, Georgia",40096.0
".Muscogee County, Georgia",195769.0
".Newton County, Georgia",111744.0
".Oconee County, Georgia",40280.0
".Oglethorpe County, Georgia",15259.0
".Paulding County, Georgia",168667.0
".Peach County, Georgia",27546.0
".Pickens County, Georgia",32591.0
".Pierce County, Georgia",19465.0
".Pike County, Georgia",18962.0
".Polk County, Georgia",42613.0
".Pulaski County, Georgia",11137.0
".Putnam County, Georgia",22119.0
".Quitman County, Georgia",2299.0
".Rabun County, Georgia",17137.0
".Randolph County, Georgia",6778.0
".Richmond County, Georgia",202518.0
".Rockdale County, Georgia",90896.0
".Schley County, Georgia",5257.0
".Screven County, Georgia",13966.0
".Seminole County, Georgia",8090.0
".Spalding County, Georgia",66703.0
".Stephens County, Georgia",25925.0
".Stewart County, Georgia",6621.0
".Sumter County, Georgia",29524.0
".Talbot County, Georgia",6195.0
".Taliaferro County, Georgia",1537.0
".Tattnall County, Georgia",25286.0
".Taylor County, Georgia",8020.0
".Telfair County, Georgia",15860.0
".Terrell County, Georgia",8531.0
".Thomas County, Georgia",44451.0
".Tift County, Georgia",40644.0
".Toombs County, Georgia",26830.0
".Towns County, Georgia",12037.0
".Treutlen County, Georgia",6901.0
".Troup County, Georgia",69922.0
".Turner County, Georgia",7985.0
".Twiggs County, Georgia",8120.0
".Union County, Georgia",24511.0
".Upson County, Georgia",26320.0
".Walker County, Georgia",69761.0
".Walton County, Georgia",94593.0
".Ware County, Georgia",35734.0
".Warren County, Georgia",5254.0
".Washington County, Georgia",20374.0
".Wayne County, Georgia",29927.0
".Webster County, Georgia",2607.0
".Wheeler County, Georgia",7855.0
".White County, Georgia",30798.0
".Whitfield County, Georgia",104628.0
".Wilcox County, Georgia",8635.0
".Wilkes County, Georgia",9777.0
".Wilkinson County, Georgia",8954.0
".Worth County, Georgia",20247.0
".Hawaii County, Hawaii",201513.0
".Honolulu County, Hawaii",974563.0
".Kalawao County, Hawaii",86.0
".Kauai County, Hawaii",72293.0
".Maui County, Hawaii",167417.0
".Ada County, Idaho",481587.0
".Adams County, Idaho",4294.0
".Bannock County, Idaho",87808.0
".Bear Lake County, Idaho",6125.0
".Benewah County, Idaho",9298.0
".Bingham County, Idaho",46811.0
".Blaine County, Idaho",23021.0
".Boise County, Idaho",7831.0
".Bonner County, Idaho",45739.0
".Bonneville County, Idaho",119062.0
".Boundary County, Idaho",12245.0
".Butte County, Idaho",2597.0
".Camas County, Idaho",1106.0
".Canyon County, Idaho",229849.0
".Caribou County, Idaho",7155.0
".Cassia County, Idaho",24030.0
".Clark County, Idaho",845.0
".Clearwater County, Idaho",8756.0
".Custer County, Idaho",4315.0
".Elmore County, Idaho",27511.0
".Franklin County, Idaho",13876.0
".Fremont County, Idaho",13099.0
".Gem County, Idaho",18112.0
".Gooding County, Idaho",15179.0
".Idaho County, Idaho",16667.0
".Jefferson County, Idaho",29871.0
".Jerome County, Idaho",24412.0
".Kootenai County, Idaho",165697.0
".Latah County, Idaho",40108.0
".Lemhi County, Idaho",8027.0
".Lewis County, Idaho",3838.0
".Lincoln County, Idaho",5366.0
".Madison County, Idaho",39907.0
".Minidoka County, Idaho",21039.0
".Nez Perce County, Idaho",40408.0
".Oneida County, Idaho",4531.0
".Owyhee County, Idaho",11823.0
".Payette County, Idaho",23951.0
".Power County, Idaho",7681.0
".Shoshone County, Idaho",12882.0
".Teton County, Idaho",12142.0
".Twin Falls County, Idaho",86878.0
".Valley County, Idaho",11392.0
".Washington County, Idaho",10194.0
".Adams County, Illinois",65435.0
".Alexander County, Illinois",5761.0
".Bond County, Illinois",16426.0
".Boone County, Illinois",53544.0
