,2019
".Emmet County, Iowa",9208.0
".Fayette County, Iowa",19650.0
".Floyd County, Iowa",15642.0
".Franklin County, Iowa",10070.0
".Fremont County, Iowa",6960.0
".Greene County, Iowa",8888.0
".Grundy County, Iowa",12232.0
".Guthrie County, Iowa",10689.0
".Hamilton County, Iowa",14773.0
".Hancock County, Iowa",10630.0
".Hardin County, Iowa",16846.0
".Harrison County, Iowa",14049.0
".Henry County, Iowa",19954.0
".Howard County, Iowa",9158.0
".Humboldt County, Iowa",9558.0
".Ida County, Iowa",6860.0
".Iowa County, Iowa",16184.0
".Jackson County, Iowa",19439.0
".Jasper County, Iowa",37185.0
".Jefferson County, Iowa",18295.0
".Johnson County, Iowa",151140.0
".Jones County, Iowa",20681.0
".Keokuk County, Iowa",10246.0
".Kossuth County, Iowa",14813.0
".Lee County, Iowa",33657.0
".Linn County, Iowa",226706.0
".Louisa County, Iowa",11035.0
".Lucas County, Iowa",8600.0
".Lyon County, Iowa",11755.0
".Madison County, Iowa",16338.0
".Mahaska County, Iowa",22095.0
".Marion County, Iowa",33253.0
".Marshall County, Iowa",39369.0
".Mills County, Iowa",15109.0
".Mitchell County, Iowa",10586.0
".Monona County, Iowa",8615.0
".Monroe County, Iowa",7707.0
".Montgomery County, Iowa",9917.0
".Muscatine County, Iowa",42664.0
".O'Brien County, Iowa",13753.0
".Osceola County, Iowa",5958.0
".Page County, Iowa",15107.0
".Palo Alto County, Iowa",8886.0
".Plymouth County, Iowa",25177.0
".Pocahontas County, Iowa",6619.0
".Polk County, Iowa",490161.0
".Pottawattamie County, Iowa",93206.0
".Poweshiek County, Iowa",18504.0
".Ringgold County, Iowa",4894.0
".Sac County, Iowa",9721.0
".Scott County, Iowa",172943.0
".Shelby County, Iowa",11454.0
".Sioux County, Iowa",34855.0
".Story County, Iowa",97117.0
".Tama County, Iowa",16854.0
".Taylor County, Iowa",6121.0
".Union County, Iowa",12241.0
".Van Buren County, Iowa",7044.0
".Wapello County, Iowa",34969.0
".Warren County, Iowa",51466.0
".Washington County, Iowa",21965.0
".Wayne County, Iowa",6441.0
".Webster County, Iowa",35904.0
".Winnebago County, Iowa",10354.0
".Winneshiek County, Iowa",19991.0
".Woodbury County, Iowa",103107.0
".Worth County, Iowa",7381.0
".Wright County, Iowa",12562.0
".Allen County, Kansas",12369.0
".Anderson County, Kansas",7858.0
".Atchison County, Kansas",16073.0
".Barber County, Kansas",4427.0
".Barton County, Kansas",25779.0
".Bourbon County, Kansas",14534.0
".Brown County, Kansas",9564.0
".Butler County, Kansas",66911.0
".Chase County, Kansas",2648.0
".Chautauqua County, Kansas",3250.0
".Cherokee County, Kansas",19939.0
".Cheyenne County, Kansas",2657.0
".Clark County, Kansas",1994.0
".Clay County, Kansas",8002.0
".Cloud County, Kansas",8786.0
".Coffey County, Kansas",8179.0
".Comanche County, Kansas",1700.0
".Cowley County, Kansas",34908.0
".Crawford County, Kansas",38818.0
".Decatur County, Kansas",2827.0
".Dickinson County, Kansas",18466.0
".Doniphan County, Kansas",7600.0
".Douglas County, Kansas",122259.0
".Edwards County, Kansas",2798.0
".Elk County, Kansas",2530.0
".Ellis County, Kansas",28553.0
".Ellsworth County, Kansas",6102.0
".Finney County, Kansas",36467.0
".Ford County, Kansas",33619.0
".Franklin County, Kansas",25544.0
".Geary County, Kansas",31670.0
".Gove County, Kansas",2636.0
".Graham County, Kansas",2482.0
".Grant County, Kansas",7150.0
".Gray County, Kansas",5988.0
".Greeley County, Kansas",1232.0
".Greenwood County, Kansas",5982.0
".Hamilton County, Kansas",2539.0
".Harper County, Kansas",5436.0
".Harvey County, Kansas",34429.0
".Haskell County, Kansas",3968.0
".Hodgeman County, Kansas",1794.0
".Jackson County, Kansas",13171.0
".Jefferson County, Kansas",19043.0
".Jewell County, Kansas",2879.0
".Johnson County, Kansas",602401.0
".Kearny County, Kansas",3838.0
".Kingman County, Kansas",7152.0
".Kiowa County, Kansas",2475.0
".Labette County, Kansas",19618.0
".Lane County, Kansas",1535.0
".Leavenworth County, Kansas",81758.0
".Lincoln County, Kansas",2962.0
".Linn County, Kansas",9703.0
".Logan County, Kansas",2794.0
".Lyon County, Kansas",33195.0
".McPherson County, Kansas",28542.0
".Marion County, Kansas",11884.0
".Marshall County, Kansas",9707.0
".Meade County, Kansas",4033.0
".Miami County, Kansas",34237.0
".Mitchell County, Kansas",5979.0
".Montgomery County, Kansas",31829.0
".Morris County, Kansas",5620.0
".Morton County, Kansas",2587.0
".Nemaha County, Kansas",10231.0
".Neosho County, Kansas",16007.0
".Ness County, Kansas",2750.0
".Norton County, Kansas",5361.0
".Osage County, Kansas",15949.0
".Osborne County, Kansas",3421.0
".Ottawa County, Kansas",5704.0
".Pawnee County, Kansas",6414.0
".Phillips County, Kansas",5234.0
".Pottawatomie County, Kansas",24383.0
".Pratt County, Kansas",9164.0
".Rawlins County, Kansas",2530.0
".Reno County, Kansas",61998.0
".Republic County, Kansas",4636.0
".Rice County, Kansas",9537.0
".Riley County, Kansas",74232.0
".Rooks County, Kansas",4920.0
".Rush County, Kansas",3036.0
".Russell County, Kansas",6856.0
".Saline County, Kansas",54224.0
".Scott County, Kansas",4823.0
".Sedgwick County, Kansas",516042.0
".Seward County, Kansas",21428.0
".Shawnee County, Kansas",176875.0
".Sheridan County, Kansas",2521.0
".Sherman County, Kansas",5917.0
".Smith County, Kansas",3583.0
".Stafford County, Kansas",4156.0
".Stanton County, Kansas",2006.0
".Stevens County, Kansas",5485.0
".Sumner County, Kansas",22836.0
".Thomas County, Kansas",7777.0
".Trego County, Kansas",2803.0
".Wabaunsee County, Kansas",6931.0
".Wallace County, Kansas",1518.0
".Washington County, Kansas",5406.0
".Wichita County, Kansas",2119.0
".Wilson County, Kansas",8525.0
".Woodson County, Kansas",3138.0
".Wyandotte County, Kansas",165429.0
".Adair County, Kentucky",19202.0
".Allen County, Kentucky",21315.0
".Anderson County, Kentucky",22747.0
".Ballard County, Kentucky",7888.0
".Barren County, Kentucky",44249.0
".Bath County, Kentucky",12500.0
".Bell County, Kentucky",26032.0
".Boone County, Kentucky",133581.0
".Bourbon County, Kentucky",19788.0
".Boyd County, Kentucky",46718.0
".Boyle County, Kentucky",30060.0
".Bracken County, Kentucky",8303.0
".Breathitt County, Kentucky",12630.0
".Breckinridge County, Kentucky",20477.0
".Bullitt County, Kentucky",81676.0
".Butler County, Kentucky",12879.0
".Caldwell County, Kentucky",12747.0
".Calloway County, Kentucky",39001.0
".Campbell County, Kentucky",93584.0
".Carlisle County, Kentucky",4760.0
".Carroll County, Kentucky",10631.0
".Carter County, Kentucky",26797.0
".Casey County, Kentucky",16159.0
".Christian County, Kentucky",70461.0
".Clark County, Kentucky",36263.0
".Clay County, Kentucky",19901.0
".Clinton County, Kentucky",10218.0
".Crittenden County, Kentucky",8806.0
".Cumberland County, Kentucky",6614.0
".Daviess County, Kentucky",101511.0
".Edmonson County, Kentucky",12150.0
".Elliott County, Kentucky",7517.0
".Estill County, Kentucky",14106.0
".Fayette County, Kentucky",323152.0
".Fleming County, Kentucky",14581.0
".Floyd County, Kentucky",35589.0
".Franklin County, Kentucky",50991.0
".Fulton County, Kentucky",5969.0
".Gallatin County, Kentucky",8869.0
".Garrard County, Kentucky",17666.0
".Grant County, Kentucky",25069.0
".Graves County, Kentucky",37266.0
".Grayson County, Kentucky",26427.0
".Green County, Kentucky",10941.0
".Greenup County, Kentucky",35098.0
".Hancock County, Kentucky",8722.0
".Hardin County, Kentucky",110958.0
".Harlan County, Kentucky",26010.0
".Harrison County, Kentucky",18886.0
".Hart County, Kentucky",19035.0
".Henderson County, Kentucky",45210.0
".Henry County, Kentucky",16126.0
".Hickman County, Kentucky",4380.0
".Hopkins County, Kentucky",44686.0
".Jackson County, Kentucky",13329.0
".Jefferson County, Kentucky",766757.0
".Jessamine County, Kentucky",54115.0
".Johnson County, Kentucky",22188.0
".Kenton County, Kentucky",166998.0
".Knott County, Kentucky",14806.0
".Knox County, Kentucky",31145.0
".Larue County, Kentucky",14398.0
".Laurel County, Kentucky",60813.0
".Lawrence County, Kentucky",15317.0
".Lee County, Kentucky",7403.0
".Leslie County, Kentucky",9877.0
".Letcher County, Kentucky",21553.0
".Lewis County, Kentucky",13275.0
".Lincoln County, Kentucky",24549.0
".Livingston County, Kentucky",9194.0
".Logan County, Kentucky",27102.0
".Lyon County, Kentucky",8210.0
".McCracken County, Kentucky",65418.0
".McCreary County, Kentucky",17231.0
".McLean County, Kentucky",9207.0
".Madison County, Kentucky",92987.0
".Magoffin County, Kentucky",12161.0
".Marion County, Kentucky",19273.0
".Marshall County, Kentucky",31100.0
".Martin County, Kentucky",11195.0
".Mason County, Kentucky",17070.0
".Meade County, Kentucky",28572.0
".Menifee County, Kentucky",6489.0
".Mercer County, Kentucky",21933.0
".Metcalfe County, Kentucky",10071.0
".Monroe County, Kentucky",10650.0
".Montgomery County, Kentucky",28157.0
".Morgan County, Kentucky",13309.0
".Muhlenberg County, Kentucky",30622.0
".Nelson County, Kentucky",46233.0
".Nicholas County, Kentucky",7269.0
".Ohio County, Kentucky",23994.0
".Oldham County, Kentucky",66799.0
".Owen County, Kentucky",10901.0
".Owsley County, Kentucky",4415.0
".Pendleton County, Kentucky",14590.0
".Perry County, Kentucky",25758.0
".Pike County, Kentucky",57876.0
".Powell County, Kentucky",12359.0
".Pulaski County, Kentucky",64979.0
".Robertson County, Kentucky",2108.0
".Rockcastle County, Kentucky",16695.0
".Rowan County, Kentucky",24460.0
".Russell County, Kentucky",17923.0
".Scott County, Kentucky",57004.0
".Shelby County, Kentucky",49024.0
".Simpson County, Kentucky",18572.0
".Spencer County, Kentucky",19351.0
".Taylor County, Kentucky",25769.0
".Todd County, Kentucky",12294.0
".Trigg County, Kentucky",14651.0
".Trimble County, Kentucky",8471.0
".Union County, Kentucky",14381.0
".Warren County, Kentucky",132896.0
".Washington County, Kentucky",12095.0
".Wayne County, Kentucky",20333.0
".Webster County, Kentucky",12942.0
".Whitley County, Kentucky",36264.0
".Wolfe County, Kentucky",7157.0
".Woodford County, Kentucky",26734.0
".Acadia Parish, Louisiana",62045.0
".Allen Parish, Louisiana",25627.0
".Ascension Parish, Louisiana",126604.0
".Assumption Parish, Louisiana",21891.0
".Avoyelles Parish, Louisiana",40144.0
".Beauregard Parish, Louisiana",37497.0
".Bienville Parish, Louisiana",13241.0
".Bossier Parish, Louisiana",127039.0
".Caddo Parish, Louisiana",240204.0
".Calcasieu Parish, Louisiana",203436.0
".Caldwell Parish, Louisiana",9918.0
".Cameron Parish, Louisiana",6973.0
".Catahoula Parish, Louisiana",9494.0
".Claiborne Parish, Louisiana",15670.0
".Concordia Parish, Louisiana",19259.0
".De Soto Parish, Louisiana",27463.0
".East Baton Rouge Parish, Louisiana",440059.0
".East Carroll Parish, Louisiana",6861.0
".East Feliciana Parish, Louisiana",19135.0
".Evangeline Parish, Louisiana",33395.0
".Franklin Parish, Louisiana",20015.0
".Grant Parish, Louisiana",22389.0
".Iberia Parish, Louisiana",69830.0
".Iberville Parish, Louisiana",32511.0
".Jackson Parish, Louisiana",15744.0
".Jefferson Parish, Louisiana",432493.0
".Jefferson Davis Parish, Louisiana",31368.0
".Lafayette Parish, Louisiana",244390.0
".Lafourche Parish, Louisiana",97614.0
".LaSalle Parish, Louisiana",14892.0
".Lincoln Parish, Louisiana",46742.0
".Livingston Parish, Louisiana",140789.0
".Madison Parish, Louisiana",10951.0
".Morehouse Parish, Louisiana",24874.0
".Natchitoches Parish, Louisiana",38158.0
".Orleans Parish, Louisiana",390144.0
".Ouachita Parish, Louisiana",153279.0
".Plaquemines Parish, Louisiana",23197.0
".Pointe Coupee Parish, Louisiana",21730.0
".Rapides Parish, Louisiana",129648.0
".Red River Parish, Louisiana",8442.0
".Richland Parish, Louisiana",20122.0
".Sabine Parish, Louisiana",23884.0
".St. Bernard Parish, Louisiana",47244.0
".St. Charles Parish, Louisiana",53100.0
".St. Helena Parish, Louisiana",10132.0
".St. James Parish, Louisiana",21096.0
".St. John the Baptist Parish, Louisiana",42837.0
".St. Landry Parish, Louisiana",82124.0
".St. Martin Parish, Louisiana",53431.0
".St. Mary Parish, Louisiana",49348.0
".St. Tammany Parish, Louisiana",260419.0
".Tangipahoa Parish, Louisiana",134758.0
".Tensas Parish, Louisiana",4334.0
".Terrebonne Parish, Louisiana",110461.0
".Union Parish, Louisiana",22108.0
".Vermilion Parish, Louisiana",59511.0
".Vernon Parish, Louisiana",47429.0
".Washington Parish, Louisiana",46194.0
".Webster Parish, Louisiana",38340.0
".West Baton Rouge Parish, Louisiana",26465.0
".West Carroll Parish, Louisiana",10830.0
".West Feliciana Parish, Louisiana",15568.0
".Winn Parish, Louisiana",13904.0
".Androscoggin County, Maine",108277.0
".Aroostook County, Maine",67055.0
".Cumberland County, Maine",295003.0
".Franklin County, Maine",30199.0
".Hancock County, Maine",54987.0
".Kennebec County, Maine",122302.0
".Knox County, Maine",39772.0
".Lincoln County, Maine",34634.0
".Oxford County, Maine",57975.0
".Penobscot County, Maine",152148.0
".Piscataquis County, Maine",16785.0
".Sagadahoc County, Maine",35856.0
".Somerset County, Maine",50484.0
".Waldo County, Maine",39715.0
".Washington County, Maine",31379.0
".York County, Maine",207641.0
".Allegany County, Maryland",70416.0
".Anne Arundel County, Maryland",579234.0
".Baltimore County, Maryland",827370.0
".Calvert County, Maryland",92525.0
".Caroline County, Maryland",33406.0
".Carroll County, Maryland",168447.0
".Cecil County, Maryland",102855.0
".Charles County, Maryland",163257.0
".Dorchester County, Maryland",31929.0
".Frederick County, Maryland",259547.0
".Garrett County, Maryland",29014.0
".Harford County, Maryland",255441.0
".Howard County, Maryland",325690.0
".Kent County, Maryland",19422.0
".Montgomery County, Maryland",1050688.0
".Prince George's County, Maryland",909327.0
".Queen Anne's County, Maryland",50381.0
".St. Mary's County, Maryland",113510.0
".Somerset County, Maryland",25616.0
".Talbot County, Maryland",37181.0
".Washington County, Maryland",151049.0
".Wicomico County, Maryland",103609.0
".Worcester County, Maryland",52276.0
".Baltimore city, Maryland",593490.0
".Barnstable County, Massachusetts",212990.0
".Berkshire County, Massachusetts",124944.0
".Bristol County, Massachusetts",565217.0
".Dukes County, Massachusetts",17332.0
".Essex County, Massachusetts",789034.0
".Franklin County, Massachusetts",70180.0
".Hampden County, Massachusetts",466372.0
".Hampshire County, Massachusetts",160830.0
".Middlesex County, Massachusetts",1611699.0
".Nantucket County, Massachusetts",11399.0
".Norfolk County, Massachusetts",706775.0
".Plymouth County, Massachusetts",521202.0
".Suffolk County, Massachusetts",803907.0
".Worcester County, Massachusetts",830622.0
".Alcona County, Michigan",10405.0
".Alger County, Michigan",9108.0
".Allegan County, Michigan",118081.0
".Alpena County, Michigan",28405.0
".Antrim County, Michigan",23324.0
".Arenac County, Michigan",14883.0
".Baraga County, Michigan",8209.0
".Barry County, Michigan",61550.0
".Bay County, Michigan",103126.0
".Benzie County, Michigan",17766.0
".Berrien County, Michigan",153401.0
".Branch County, Michigan",43517.0
".Calhoun County, Michigan",134159.0
".Cass County, Michigan",51787.0
".Charlevoix County, Michigan",26143.0
".Cheboygan County, Michigan",25276.0
".Chippewa County, Michigan",37349.0
".Clare County, Michigan",30950.0
".Clinton County, Michigan",79595.0
".Crawford County, Michigan",14029.0
".Delta County, Michigan",35784.0
".Dickinson County, Michigan",25239.0
".Eaton County, Michigan",110268.0
".Emmet County, Michigan",33415.0
".Genesee County, Michigan",405813.0
".Gladwin County, Michigan",25449.0
".Gogebic County, Michigan",13975.0
".Grand Traverse County, Michigan",93088.0
".Gratiot County, Michigan",40711.0
".Hillsdale County, Michigan",45605.0
".Houghton County, Michigan",35684.0
".Huron County, Michigan",30981.0
".Ingham County, Michigan",292406.0
".Ionia County, Michigan",64697.0
".Iosco County, Michigan",25127.0
".Iron County, Michigan",11066.0
".Isabella County, Michigan",69872.0
".Jackson County, Michigan",158510.0
".Kalamazoo County, Michigan",265066.0
".Kalkaska County, Michigan",18038.0
".Kent County, Michigan",656955.0
".Keweenaw County, Michigan",2116.0
".Lake County, Michigan",11853.0
".Lapeer County, Michigan",87607.0
".Leelanau County, Michigan",21761.0
".Lenawee County, Michigan",98451.0
".Livingston County, Michigan",191995.0
".Luce County, Michigan",6229.0
".Mackinac County, Michigan",10799.0
".Macomb County, Michigan",873972.0
".Manistee County, Michigan",24558.0
".Marquette County, Michigan",66699.0
".Mason County, Michigan",29144.0
".Mecosta County, Michigan",43453.0
".Menominee County, Michigan",22780.0
".Midland County, Michigan",83156.0
".Missaukee County, Michigan",15118.0
".Monroe County, Michigan",150500.0
".Montcalm County, Michigan",63888.0
".Montmorency County, Michigan",9328.0
".Muskegon County, Michigan",173566.0
".Newaygo County, Michigan",48980.0
".Oakland County, Michigan",1257584.0
".Oceana County, Michigan",26467.0
".Ogemaw County, Michigan",20997.0
".Ontonagon County, Michigan",5720.0
".Osceola County, Michigan",23460.0
".Oscoda County, Michigan",8241.0
".Otsego County, Michigan",24668.0
".Ottawa County, Michigan",291830.0
".Presque Isle County, Michigan",12592.0
".Roscommon County, Michigan",24019.0
".Saginaw County, Michigan",190539.0
".St. Clair County, Michigan",159128.0
".St. Joseph County, Michigan",60964.0
".Sanilac County, Michigan",41170.0
".Schoolcraft County, Michigan",8094.0
".Shiawassee County, Michigan",68122.0
".Tuscola County, Michigan",52245.0
".Van Buren County, Michigan",75677.0
".Washtenaw County, Michigan",367601.0
".Wayne County, Michigan",1749343.0
".Wexford County, Michigan",33631.0
".Aitkin County, Minnesota",15886.0
".Anoka County, Minnesota",356921.0
".Becker County, Minnesota",34423.0
".Beltrami County, Minnesota",47188.0
".Benton County, Minnesota",40889.0
".Big Stone County, Minnesota",4991.0
".Blue Earth County, Minnesota",67653.0
".Brown County, Minnesota",25008.0
".Carlton County, Minnesota",35871.0
".Carver County, Minnesota",105089.0
".Cass County, Minnesota",29779.0
".Chippewa County, Minnesota",11800.0
".Chisago County, Minnesota",56579.0
".Clay County, Minnesota",64222.0
".Clearwater County, Minnesota",8818.0
".Cook County, Minnesota",5463.0
".Cottonwood County, Minnesota",11196.0
".Crow Wing County, Minnesota",65055.0
".Dakota County, Minnesota",429021.0
".Dodge County, Minnesota",20934.0
".Douglas County, Minnesota",38141.0
".Faribault County, Minnesota",13653.0
".Fillmore County, Minnesota",21067.0
".Freeborn County, Minnesota",30281.0
".Goodhue County, Minnesota",46340.0
".Grant County, Minnesota",5972.0
".Hennepin County, Minnesota",1265843.0
".Houston County, Minnesota",18600.0
".Hubbard County, Minnesota",21491.0
".Isanti County, Minnesota",40596.0
".Itasca County, Minnesota",45130.0
".Jackson County, Minnesota",9846.0
".Kanabec County, Minnesota",16337.0
".Kandiyohi County, Minnesota",43199.0
".Kittson County, Minnesota",4298.0
".Koochiching County, Minnesota",12229.0
".Lac qui Parle County, Minnesota",6623.0
".Lake County, Minnesota",10641.0
".Lake of the Woods County, Minnesota",3740.0
".Le Sueur County, Minnesota",28887.0
".Lincoln County, Minnesota",5639.0
".Lyon County, Minnesota",25474.0
".McLeod County, Minnesota",35893.0
".Mahnomen County, Minnesota",5527.0
".Marshall County, Minnesota",9336.0
".Martin County, Minnesota",19683.0
".Meeker County, Minnesota",23222.0
".Mille Lacs County, Minnesota",26277.0
".Morrison County, Minnesota",33386.0
".Mower County, Minnesota",40062.0
".Murray County, Minnesota",8194.0
".Nicollet County, Minnesota",34274.0
".Nobles County, Minnesota",21629.0
".Norman County, Minnesota",6375.0
".Olmsted County, Minnesota",158293.0
".Otter Tail County, Minnesota",58746.0
".Pennington County, Minnesota",14119.0
".Pine County, Minnesota",29579.0
".Pipestone County, Minnesota",9126.0
".Polk County, Minnesota",31364.0
".Pope County, Minnesota",11249.0
".Ramsey County, Minnesota",550321.0
".Red Lake County, Minnesota",4055.0
".Redwood County, Minnesota",15170.0
".Renville County, Minnesota",14548.0
".Rice County, Minnesota",66972.0
".Rock County, Minnesota",9315.0
".Roseau County, Minnesota",15165.0
".St. Louis County, Minnesota",199070.0
".Scott County, Minnesota",149013.0
".Sherburne County, Minnesota",97238.0
".Sibley County, Minnesota",14865.0
".Stearns County, Minnesota",161075.0
".Steele County, Minnesota",36649.0
".Stevens County, Minnesota",9805.0
".Swift County, Minnesota",9266.0
".Todd County, Minnesota",24664.0
".Traverse County, Minnesota",3259.0
".Wabasha County, Minnesota",21627.0
".Wadena County, Minnesota",13682.0
".Waseca County, Minnesota",18612.0
".Washington County, Minnesota",262440.0
".Watonwan County, Minnesota",10897.0
".Wilkin County, Minnesota",6207.0
".Winona County, Minnesota",50484.0
".Wright County, Minnesota",138377.0
".Yellow Medicine County, Minnesota",9709.0
".Adams County, Mississippi",30693.0
".Alcorn County, Mississippi",36953.0
".Amite County, Mississippi",12297.0
".Attala County, Mississippi",18174.0
".Benton County, Mississippi",8259.0
".Bolivar County, Mississippi",30628.0
".Calhoun County, Mississippi",14361.0
".Carroll County, Mississippi",9947.0
".Chickasaw County, Mississippi",17103.0
".Choctaw County, Mississippi",8210.0
".Claiborne County, Mississippi",8988.0
".Clarke County, Mississippi",15541.0
".Clay County, Mississippi",19316.0
".Coahoma County, Mississippi",22124.0
".Copiah County, Mississippi",28065.0
".Covington County, Mississippi",18636.0
".DeSoto County, Mississippi",184945.0
".Forrest County, Mississippi",74897.0
".Franklin County, Mississippi",7713.0
".George County, Mississippi",24500.0
".Greene County, Mississippi",13586.0
".Grenada County, Mississippi",20758.0
".Hancock County, Mississippi",47632.0
".Harrison County, Mississippi",208080.0
".Hinds County, Mississippi",231840.0
".Holmes County, Mississippi",17010.0
".Humphreys County, Mississippi",8064.0
".Issaquena County, Mississippi",1327.0
".Itawamba County, Mississippi",23390.0
".Jackson County, Mississippi",143617.0
".Jasper County, Mississippi",16383.0
".Jefferson County, Mississippi",6990.0
".Jefferson Davis County, Mississippi",11128.0
".Jones County, Mississippi",68098.0
".Kemper County, Mississippi",9742.0
".Lafayette County, Mississippi",54019.0
".Lamar County, Mississippi",63343.0
".Lauderdale County, Mississippi",74125.0
".Lawrence County, Mississippi",12586.0
".Leake County, Mississippi",22786.0
".Lee County, Mississippi",85436.0
".Leflore County, Mississippi",28183.0
".Lincoln County, Mississippi",34153.0
".Lowndes County, Mississippi",58595.0
".Madison County, Mississippi",106272.0
".Marion County, Mississippi",24573.0
".Marshall County, Mississippi",35294.0
".Monroe County, Mississippi",35252.0
".Montgomery County, Mississippi",9775.0
".Neshoba County, Mississippi",29118.0
".Newton County, Mississippi",21018.0
".Noxubee County, Mississippi",10417.0
".Oktibbeha County, Mississippi",49587.0
".Panola County, Mississippi",34192.0
".Pearl River County, Mississippi",55535.0
".Perry County, Mississippi",11973.0
".Pike County, Mississippi",39288.0
".Pontotoc County, Mississippi",32174.0
".Prentiss County, Mississippi",25126.0
".Quitman County, Mississippi",6792.0
".Rankin County, Mississippi",155271.0
".Scott County, Mississippi",28124.0
".Sharkey County, Mississippi",4321.0
".Simpson County, Mississippi",26658.0
".Smith County, Mississippi",15916.0
".Stone County, Mississippi",18336.0
".Sunflower County, Mississippi",25110.0
".Tallahatchie County, Mississippi",13809.0
".Tate County, Mississippi",28321.0
".Tippah County, Mississippi",22015.0
".Tishomingo County, Mississippi",19383.0
".Tunica County, Mississippi",9632.0
".Union County, Mississippi",28815.0
".Walthall County, Mississippi",14286.0
".Warren County, Mississippi",45381.0
".Washington County, Mississippi",43909.0
".Wayne County, Mississippi",20183.0
".Webster County, Mississippi",9689.0
".Wilkinson County, Mississippi",8630.0
".Winston County, Mississippi",17955.0
".Yalobusha County, Mississippi",12108.0
".Yazoo County, Mississippi",29690.0
".Adair County, Missouri",25343.0
".Andrew County, Missouri",17712.0
".Atchison County, Missouri",5143.0
".Audrain County, Missouri",25388.0
".Barry County, Missouri",35789.0
".Barton County, Missouri",11754.0
".Bates County, Missouri",16172.0
".Benton County, Missouri",19443.0
".Bollinger County, Missouri",12133.0
".Boone County, Missouri",180463.0
".Buchanan County, Missouri",87364.0
".Butler County, Missouri",42478.0
".Caldwell County, Missouri",9020.0
".Callaway County, Missouri",44743.0
".Camden County, Missouri",46305.0
".Cape Girardeau County, Missouri",78871.0
".Carroll County, Missouri",8679.0
".Carter County, Missouri",5982.0
".Cass County, Missouri",105780.0
".Cedar County, Missouri",14349.0
".Chariton County, Missouri",7426.0
".Christian County, Missouri",88595.0
".Clark County, Missouri",6797.0
".Clay County, Missouri",249948.0
".Clinton County, Missouri",20387.0
".Cole County, Missouri",76745.0
".Cooper County, Missouri",17709.0
".Crawford County, Missouri",23920.0
".Dade County, Missouri",7561.0
".Dallas County, Missouri",16878.0
".Daviess County, Missouri",8278.0
".DeKalb County, Missouri",12547.0
".Dent County, Missouri",15573.0
".Douglas County, Missouri",13185.0
".Dunklin County, Missouri",29131.0
".Franklin County, Missouri",103967.0
".Gasconade County, Missouri",14706.0
".Gentry County, Missouri",6571.0
".Greene County, Missouri",293086.0
".Grundy County, Missouri",9850.0
".Harrison County, Missouri",8352.0
".Henry County, Missouri",21824.0
".Hickory County, Missouri",9544.0
".Holt County, Missouri",4403.0
".Howard County, Missouri",10001.0
".Howell County, Missouri",40117.0
".Iron County, Missouri",10125.0
".Jackson County, Missouri",703011.0
".Jasper County, Missouri",121328.0
".Jefferson County, Missouri",225081.0
".Johnson County, Missouri",54062.0
".Knox County, Missouri",3959.0
".Laclede County, Missouri",35723.0
".Lafayette County, Missouri",32708.0
".Lawrence County, Missouri",38355.0
".Lewis County, Missouri",9776.0
".Lincoln County, Missouri",59013.0
".Linn County, Missouri",11920.0
".Livingston County, Missouri",15227.0
".McDonald County, Missouri",22837.0
".Macon County, Missouri",15117.0
".Madison County, Missouri",12088.0
".Maries County, Missouri",8697.0
".Marion County, Missouri",28530.0
".Mercer County, Missouri",3617.0
".Miller County, Missouri",25619.0
".Mississippi County, Missouri",13180.0
".Moniteau County, Missouri",16132.0
".Monroe County, Missouri",8644.0
".Montgomery County, Missouri",11551.0
".Morgan County, Missouri",20627.0
".New Madrid County, Missouri",17076.0
".Newton County, Missouri",58236.0
".Nodaway County, Missouri",22092.0
".Oregon County, Missouri",10529.0
".Osage County, Missouri",13615.0
".Ozark County, Missouri",9174.0
".Pemiscot County, Missouri",15805.0
".Perry County, Missouri",19136.0
".Pettis County, Missouri",42339.0
".Phelps County, Missouri",44573.0
".Pike County, Missouri",18302.0
".Platte County, Missouri",104418.0
".Polk County, Missouri",32149.0
".Pulaski County, Missouri",52607.0
".Putnam County, Missouri",4696.0
".Ralls County, Missouri",10309.0
".Randolph County, Missouri",24748.0
".Ray County, Missouri",23018.0
".Reynolds County, Missouri",6270.0
".Ripley County, Missouri",13288.0
".St. Charles County, Missouri",402022.0
".St. Clair County, Missouri",9397.0
".Ste. Genevieve County, Missouri",17894.0
".St. Francois County, Missouri",67215.0
".St. Louis County, Missouri",994205.0
".Saline County, Missouri",22761.0
".Schuyler County, Missouri",4660.0
".Scotland County, Missouri",4902.0
".Scott County, Missouri",38280.0
".Shannon County, Missouri",8166.0
".Shelby County, Missouri",5930.0
".Stoddard County, Missouri",29025.0
".Stone County, Missouri",31952.0
".Sullivan County, Missouri",6089.0
".Taney County, Missouri",55928.0
".Texas County, Missouri",25398.0
".Vernon County, Missouri",20563.0
".Warren County, Missouri",35649.0
".Washington County, Missouri",24730.0
".Wayne County, Missouri",12873.0
".Webster County, Missouri",39592.0
".Worth County, Missouri",2013.0
".Wright County, Missouri",18289.0
".St. Louis city, Missouri",300576.0
".Beaverhead County, Montana",9453.0
".Big Horn County, Montana",13319.0
".Blaine County, Montana",6681.0
".Broadwater County, Montana",6237.0
".Carbon County, Montana",10725.0
".Carter County, Montana",1252.0
".Cascade County, Montana",81366.0
".Chouteau County, Montana",5635.0
