FIPS,Lat,Long_
45001,34.22333378,-82.46170658
22001,30.2950649,-92.41419698
51001,37.76707161,-75.63234615
16001,43.4526575,-116.2415516
19001,41.33075609,-94.47105874
21001,37.10459774,-85.28129668
29001,40.19058551,-92.60078167
40001,35.88494195,-94.65859267
8001,39.87432092,-104.3362578
16003,44.89333571,-116.4545247
17001,39.98815591,-91.18786813
18001,40.7457653,-84.93671406
28001,31.47669768,-91.35326037
31001,40.5244942,-98.50117804
39001,38.84541072,-83.4718964
42001,39.87140411,-77.21610347
53001,46.98299757,-118.5601734
55001,43.96974651,-89.76782777
50001,44.03217337,-73.14130877
45003,33.54338026,-81.63645384
27001,46.60962049,-93.4116826
12001,29.67866525,-82.35928158
37001,36.0434701,-79.39976137
6001,37.64629437,-121.8929271
8003,37.57250606,-105.7885451
36001,42.60060306,-73.97723916
56001,41.65498705,-105.7235415
51003,38.02080697,-78.55481085
26001,44.6846864,-83.59507875
28003,34.88084463,-88.57996173
17003,37.18049267,-89.32910838
37003,35.9223796,-81.17751948
51510,38.814003,-77.08183073
40003,36.73090616,-98.32408495
19005,43.28383218,-91.37860922
26005,42.59147037,-85.89102866
24001,39.62357628,-78.69280486
36003,42.25748406,-78.02750466
37005,36.49360862,-81.12857041
51005,37.78636074,-80.00222498
42003,40.46809875,-79.98167747
18003,41.09194313,-85.06800636
21003,36.75197631,-86.19457544
22003,30.65385745,-92.82442028
39003,40.77285242,-84.10802343
45005,32.98837386,-81.35321066
26007,45.03477666,-83.62212411
6003,38.59678594,-119.8223594
6005,38.44583082,-120.65696
51007,37.34081025,-77.98584649
51009,37.60308293,-79.14548696
28005,31.17467303,-90.80501621
2020,61.14998174,-149.1426986
20003,38.21413251,-95.29272815
21005,38.00671029,-84.99171713
45007,34.51828081,-82.63959517
47001,36.12684348,-84.19965764
48001,31.81534745,-95.65354823
29003,39.98492163,-94.80163024
48003,32.30468633,-102.6376548
23001,44.1664747,-70.20380627
48005,31.25457347,-94.60901487
24003,39.00670238,-76.60329337
27003,45.27476015,-93.24604565
37007,34.97403241,-80.09953279
31003,42.17695516,-98.0666283
26009,44.99690221,-85.15503082
4001,35.39465006,-109.4892383
19007,40.74324454,-92.86865906
13001,31.74847232,-82.28909114
51011,37.37569884,-78.81340003
48007,28.10556197,-96.9995047
8005,39.64977461,-104.3353617
8007,37.19474156,-107.0476867
26011,44.0636262,-83.89277559
5001,34.29145151,-91.37277296
51013,38.8767675,-77.10139853
42005,40.81665618,-79.46290811
48011,34.96507426,-101.3574874
23003,46.65926321,-68.59841248
31005,41.56896142,-101.6959559
22005,30.20406249,-90.9132841
37009,36.43296207,-81.49862729
39005,40.84772277,-82.27280781
55003,46.31956891,-90.67837132
5003,33.19153461,-91.7698471
39007,41.70860332,-80.74830218
53003,46.18894415,-117.2022851
22007,29.89946234,-91.06461642
48013,28.89333001,-98.52730485
